100	0
700	1
1300	4
1900	8
2500	15
3100	26
3700	34
4300	47
4900	60
5500	76
6100	93
6700	111
7300	128
7900	147
8500	175
9100	200
9700	230
10300	262
10900	286
11500	322
12100	365
12700	386
13300	429
13900	467
14500	518
15100	556
15700	622
16300	649
16900	682
17500	737
18100	791
18700	844
19300	897
19900	948
20500	1005
21100	1064
21700	1149
22300	1197
22900	1265
23500	1339
24100	1402
24700	1456
25300	1545
25900	1616
26500	1687
27100	1779
27700	1863
28300	1937
28900	2008
29500	2080
