0	0.003
1	0.001
2	0.001
3	0.003
4	0.002
5	0.003
6	0.004
7	0.007
8	0.007
9	0.009
10	0.013
11	0.015
12	0.017
13	0.027
14	0.02
15	0.023
16	0.028
17	0.03
18	0.034
19	0.038
20	0.041
21	0.047
22	0.05
23	0.055
24	0.062
25	0.067
26	0.07
27	0.079
28	0.085
29	0.091
30	0.096
31	0.105
32	0.112
33	0.136
34	0.14
35	0.145
36	0.155
37	0.162
38	0.176
39	0.182
40	0.185
41	0.185
42	0.194
43	0.204
44	0.272
45	0.255
46	0.235
47	0.25
48	0.261
49	0.268
50	0.283
51	0.296
52	0.308
53	0.331
54	0.335
55	0.348
56	0.359
57	0.375
58	0.387
59	0.431
60	0.441
61	0.46
62	0.466
63	0.479
64	0.596
65	0.539
66	0.54
67	0.572
68	0.573
69	0.605
70	0.6
71	0.616
72	0.644
73	0.67
74	0.693
75	0.7
76	0.729
77	0.75
78	0.754
79	0.796
80	0.792
81	0.825
82	0.851
83	0.881
84	0.896
85	0.931
86	0.944
87	0.962
88	0.983
89	1.005
90	1.033
91	1.063
92	1.088
93	1.112
94	1.135
95	1.186
96	1.196
97	1.219
98	1.243
99	1.302
100	1.327
